Quantity,Unit Price,Discount,Sales,Profit,Region_North,Region_South,Region_West,City_Amritsar,City_Bangalore,City_Bhubaneswar,City_Chandigarh,City_Chennai,City_Coimbatore,City_Delhi,City_Goa,City_Guwahati,City_Hyderabad,City_Jaipur,City_Kolkata,City_Lucknow,City_Mumbai,City_Patna,City_Pune,City_Ranchi,City_Surat,City_Thiruvananthapuram,Category_Books,Category_Clothing,Category_Electronics,Category_Furniture,Category_Groceries,Category_Home Decor,Category_Kitchen,Category_Sports,Category_Toys,Sub-Category_Action Figure,Sub-Category_Bed,Sub-Category_Biography,Sub-Category_Board Game,Sub-Category_Cabinet,Sub-Category_Camera,Sub-Category_Chair,Sub-Category_Clock,Sub-Category_Comics,Sub-Category_Cookware Set,Sub-Category_Cricket Bat,Sub-Category_Cushion,Sub-Category_Doll,Sub-Category_Dumbbells,Sub-Category_Face Cream,Sub-Category_Fiction,Sub-Category_Football,Sub-Category_Foundation,Sub-Category_Headphones,Sub-Category_Juicer,Sub-Category_Kids Wear,Sub-Category_Lamp,Sub-Category_Laptop,Sub-Category_Lipstick,Sub-Category_Men's Wear,Sub-Category_Microwave,Sub-Category_Mixer Grinder,Sub-Category_Mobile,Sub-Category_Non-Fiction,Sub-Category_Oil,Sub-Category_Perfume,Sub-Category_Puzzle,Sub-Category_RC Car,Sub-Category_Refrigerator,Sub-Category_Rice,Sub-Category_Shampoo,Sub-Category_Shoes,Sub-Category_Smartwatch,Sub-Category_Sofa,Sub-Category_Spices,Sub-Category_Sugar,Sub-Category_Table,Sub-Category_Tennis Racket,Sub-Category_Textbook,Sub-Category_Vase,Sub-Category_Wall Art,Sub-Category_Wheat,Sub-Category_Women's Wear,Sub-Category_Yoga Mat,Payment Mode_Credit Card,Payment Mode_Debit Card,Payment Mode_Net Banking,Payment Mode_UPI,Year,Month,Day,Quarter,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday,Is_Weekend_True,Month_sin,Month_cos,Day_sin,Day_cos,Product_Avg_Sales,Product_Avg_Profit,Product_Order_Count
2,36294,5,68958.6,10525.09,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024,10,19,4,0,1,0,0,0,0,1,-0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911,178956.8,25479.504999999997,2
1,42165,20,33732.0,6299.66,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025,8,30,3,0,1,0,0,0,0,1,-0.8660254037844384,-0.5000000000000004,-0.20129852008866114,0.9795299412524943,40187.45,6750.535,2
4,64876,20,207603.2,19850.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,11,4,4,0,1,0,0,0,0,1,-0.5000000000000004,0.8660254037844384,0.7247927872291199,0.6889669190756866,91628.66666666667,10663.603333333334,3
5,37320,15,158610.0,36311.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025,5,23,2,0,0,0,0,0,0,0,0.49999999999999994,-0.8660254037844387,-0.9987165071710528,-0.05064916883871355,158610.0,36311.02,1
1,50037,10,45033.3,9050.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025,1,19,1,0,0,1,0,0,0,1,0.49999999999999994,0.8660254037844387,-0.651372482722222,-0.7587581226927911,40532.850000000006,6372.0650000000005,2
5,40287,15,171219.75,23722.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025,4,6,2,0,0,1,0,0,0,1,0.8660254037844387,-0.4999999999999998,0.9377521321470804,0.3473052528448203,139179.35,18278.5,3
2,3636,5,6908.4,680.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023,10,13,4,0,0,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.48530196253108104,-0.8743466161445821,153585.45,8182.535,2
1,15885,10,14296.5,1289.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025,8,17,3,0,0,1,0,0,0,1,-0.8660254037844384,-0.5000000000000004,-0.2993631229733582,-0.9541392564000488,14296.5,1289.03,1
1,40834,20,32667.2,3700.89,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2025,3,7,1,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.9884683243281114,0.1514277775045767,44290.6,3440.87,2
2,16686,15,28366.2,5703.09,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,12,2,4,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.39435585511331855,0.9189578116202306,28366.2,5703.09,1
2,10761,20,17217.6,4139.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025,8,24,3,0,0,1,0,0,0,1,-0.8660254037844384,-0.5000000000000004,-0.9884683243281114,0.15142777750457667,17217.6,4139.82,1
3,27066,10,73078.2,16216.55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024,5,21,2,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.8978045395707417,-0.44039415155763423,154563.1,17908.684999999998,2
1,53951,5,51253.45,6826.05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2024,12,5,4,0,0,0,1,0,0,0,-2.4492935982947064e-16,1.0,0.8486442574947509,0.5289640103269624,51253.45,6826.05,1
5,23843,0,119215.0,21029.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2023,12,3,4,0,0,1,0,0,0,1,-2.4492935982947064e-16,1.0,0.5712682150947923,0.8207634412072763,75701.5,9271.083333333334,3
2,15444,5,29343.6,5535.44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,7,25,3,0,0,0,0,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.9377521321470804,0.3473052528448203,23393.65,3944.2799999999997,2
5,51645,10,232402.5,35657.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023,10,13,4,0,0,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.48530196253108104,-0.8743466161445821,124663.0,19242.22,2
3,52691,15,134362.05,26225.16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,5,24,2,0,0,0,0,0,0,0,0.49999999999999994,-0.8660254037844387,-0.9884683243281114,0.15142777750457667,136445.825,24058.85,2
4,3775,10,13590.0,1234.71,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,9,7,3,0,0,1,0,0,0,1,-1.0,-1.8369701987210297e-16,0.9884683243281114,0.1514277775045767,13590.0,1234.71,1
3,16579,20,39789.6,4240.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024,6,15,2,0,1,0,0,0,0,1,1.2246467991473532e-16,-1.0,0.10116832198743272,-0.994869323391895,27787.9,3682.115,2
5,36393,5,172866.75,39437.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2024,1,11,1,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626,128037.675,24415.925000000003,2
1,6574,20,5259.2,580.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,10,15,4,0,0,1,0,0,0,1,-0.8660254037844386,0.5000000000000001,0.10116832198743272,-0.994869323391895,5259.2,580.75,1
5,26762,15,113738.5,27267.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024,3,16,1,0,1,0,0,0,0,1,1.0,6.123233995736766e-17,-0.10116832198743204,-0.9948693233918952,113738.5,27267.31,1
1,47699,20,38159.2,8535.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,11,2,4,0,0,0,1,0,0,0,-0.5000000000000004,0.8660254037844384,0.39435585511331855,0.9189578116202306,38159.2,8535.56,1
1,28257,10,25431.3,3959.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025,7,10,3,0,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388,0.8978045395707416,-0.4403941515576344,22416.75,4129.27,2
5,24056,20,96224.0,20551.56,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,6,21,2,0,1,0,0,0,0,1,1.2246467991473532e-16,-1.0,-0.8978045395707417,-0.44039415155763423,96224.0,20551.56,1
2,65756,5,124936.4,19544.76,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024,1,13,1,0,1,0,0,0,0,1,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821,158434.3,22251.41,2
